Şəhər,Model,Yeni,Mühərrik,Yürüş,Ötürücü,price,Sürətlər qutusu,Rəng,Qəzalı,url,Sahiblər,Marka,Vəziyyəti,Hansı bazar üçün yığılıb,Buraxılış ili,Yerlərin sayı,Ban növü
Bakı,2106,Xeyr,1.6 L / 75 a.g. / Benzin,79 000 km,Arxa,4 400 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9712051-lada-vaz-2106,,LADA (VAZ),"Vuruğu yoxdur, rənglənməyib",Rusiya,2003,5,Sedan
Bakı,Tiggo 8 Pro e+,Bəli,1.5 L / 326 a.g. / Plug-in Hibrid,0 km,Ön,54 900 AZN,Avtomat (DHT),Yaşıl,,https://turbo.az/autos/8736763-chery-tiggo-8-pro-e,,Chery,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2025,5,"Offroader / SUV, 5 qapı"
Bakı,2107,Xeyr,1.6 L / 77 a.g. / Benzin,137 000 km,Arxa,8 300 AZN,Mexaniki (MT),Qara,,https://turbo.az/autos/9730536-lada-vaz-2107,0,LADA (VAZ),"Vuruğu yoxdur, rənglənib",Rusiya,2010,5,Sedan
Bakı,Transit,Xeyr,2.4 L / 140 a.g. / Dizel,171 000 km,Arxa,22 300 AZN,Mexaniki (MT),Gümüşü,,https://turbo.az/autos/9741700-ford-transit,,Ford,"Vuruğu yoxdur, rənglənməyib",Avropa,2008,3,Yük maşını
Bakı,eQ7,Bəli,211 a.g. / Elektro,0 km,Arxa,47 900 AZN,Avtomat (Reduktor),Mavi,,https://turbo.az/autos/8419493-chery-eq7,,Chery,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2024,5,"Offroader / SUV, 5 qapı"
Bakı,Corolla Cross,Bəli,2.0 L / 197 a.g. / Hibrid,0 km,Ön,35 800 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9729039-toyota-corolla-cross,0,Toyota,"Vuruğu yoxdur, rənglənməyib",Çin,2025,5,"Offroader / SUV, 5 qapı"
Sumqayıt,Latio,Xeyr,1.2 L / 79 a.g. / Benzin,124 243 km,Ön,13 900 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9729137-nissan-latio,,Nissan,"Vuruğu yoxdur, rənglənməyib",Yaponiya,2013,5,Sedan
Bakı,Rio,Xeyr,1.5 L / 110 a.g. / Dizel,270 000 km,Ön,10 000 AZN,Mexaniki (MT),Qara,,https://turbo.az/autos/9423598-kia-rio,0,Kia,"Vuruğu yoxdur, rənglənməyib",,2006,,"Hetçbek, 5 qapı"
Bakı,S 450,Xeyr,3.0 L / 367 a.g. / Benzin,85 000 km,Arxa,≈ 110 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9704180-mercedes-s-450,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2018,4,Sedan
Bakı,525,Xeyr,2.5 L / 192 a.g. / Benzin,170 000 km,Arxa,12 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9741697-bmw-525,,BMW,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2002,5,Sedan
Bakı,Corolla Fielder,Xeyr,1.5 L / 74 a.g. / Hibrid,79 000 km,Ön,21 000 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9589915-toyota-corolla-fielder,0,Toyota,"Vuruğu yoxdur, rənglənməyib",,2017,,"Universal, 5 qapı"
Bakı,Sienta,Xeyr,1.5 L / 74 a.g. / Hibrid,74 000 km,Ön,21 300 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9712200-toyota-sienta,,Toyota,"Vuruğu yoxdur, rənglənməyib",Yaponiya,2016,7,Kompakt-Van
Bakı,Uni-Z,Bəli,1.5 L / 215 a.g. / Plug-in Hibrid,0 km,Ön,≈ 27 030 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9714237-changan-uni-z,,Changan,"Vuruğu yoxdur, rənglənməyib",Çin,2025,5,"Offroader / SUV, 5 qapı"
Bakı,Wey 80,Bəli,1.5 L / 487 a.g. / Plug-in Hibrid,0 km,Tam,102 000 AZN,Avtomat (Reduktor),Qara,,https://turbo.az/autos/9475522-gwm-great-wall-motor-wey-80,,GWM (Great Wall Motor),"Vuruğu yoxdur, rənglənməyib",,2025,6,Minivan
Bakı,Emkoo,Bəli,1.5 L / 177 a.g. / Benzin,0 km,Ön,38 900 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/8686396-gac-emkoo,,GAC,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2024,5,"Offroader / SUV, 5 qapı"
Bakı,Ceed SW,Xeyr,1.6 L / 128 a.g. / Benzin,142 146 km,Ön,18 000 AZN,Mexaniki (MT),Qırmızı,,https://turbo.az/autos/8507513-kia-ceed-sw,0,Kia,"Vuruğu yoxdur, rənglənməyib",Avropa,2014,5,"Universal, 5 qapı"
Bakı,Rio,Xeyr,1.6 L / 123 a.g. / Benzin,105 739 km,Ön,17 900 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/9734765-kia-rio,,Kia,"Vuruğu yoxdur, rənglənib",Amerika,2019,5,Sedan
Bakı,3,Xeyr,1.5 L / 120 a.g. / Benzin,246 000 km,Ön,16 900 AZN,Avtomat (AT),Mavi,,https://turbo.az/autos/9591675-mazda-3,0,Mazda,"Vuruğu yoxdur, rənglənib",Avropa,2015,5,Sedan
Bakı,Elantra,Xeyr,2.0 L / 147 a.g. / Benzin,9 000 km,Ön,36 800 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9685982-hyundai-elantra,0,Hyundai,"Vuruğu yoxdur, rənglənməyib",Amerika,2024,5,Sedan
Bakı,Tucson,Xeyr,2.0 L / 150 a.g. / Dizel,227 609 km,Ön,15 500 AZN,Avtomat (AT),Gümüşü,,https://turbo.az/autos/8931490-hyundai-tucson,1,Hyundai,"Vuruğu yoxdur, rənglənməyib",Koreya,2006,5,"Offroader / SUV, 5 qapı"
Bakı,Fusion (North America),Xeyr,1.5 L / 184 a.g. / Benzin,150 000 km,Ön,19 300 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9603675-ford-fusion-north-america,0,Ford,"Vuruğu yoxdur, rənglənməyib",Amerika,2017,5,Sedan
Bakı,Taycan 4 Cross Turismo,Xeyr,476 a.g. / Elektro,33 000 km,Tam,≈ 124 950 AZN,Avtomat (Reduktor),Qara,,https://turbo.az/autos/9486734-porsche-taycan-4-cross-turismo,1,Porsche,"Vuruğu yoxdur, rənglənməyib",Avropa,2021,4,"Universal, 5 qapı"
Gəncə,Aqua,Xeyr,1.5 L / 74 a.g. / Hibrid,135 000 km,Ön,17 000 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9718889-toyota-aqua,0,Toyota,"Vuruğu yoxdur, rənglənməyib",Yaponiya,2019,5,"Hetçbek, 5 qapı"
Bakı,Corolla Fielder,Xeyr,1.5 L / 74 a.g. / Hibrid,104 000 km,Ön,23 500 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9666542-toyota-corolla-fielder,,Toyota,"Vuruğu yoxdur, rənglənməyib",Yaponiya,2019,5,"Universal, 5 qapı"
Bakı,Aqua,Xeyr,1.5 L / 74 a.g. / Hibrid,98 300 km,Ön,19 800 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9673692-toyota-aqua,1,Toyota,"Vuruğu yoxdur, rənglənməyib",Yaponiya,2019,5,"Hetçbek, 5 qapı"
Bakı,Santa Fe,Xeyr,2.0 L / 184 a.g. / Dizel,251 000 km,Ön,28 800 AZN,Avtomat (AT),Yaş Asfalt,,https://turbo.az/autos/9711458-hyundai-santa-fe,0,Hyundai,"Vuruğu yoxdur, rənglənməyib",Koreya,2014,5,"Offroader / SUV, 5 qapı"
Bakı,GLE 53 AMG Coupe,Xeyr,3.0 L / 435 a.g. / Benzin,72 000 km,Tam,≈ 127 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9264200-mercedes-gle-53-amg-coupe,2,Mercedes,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2020,5,SUV Kupe
Bakı,520,Xeyr,2.0 L / 190 a.g. / Dizel,190 000 km,Tam,34 000 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9648484-bmw-520,0,BMW,"Vuruğu yoxdur, rənglənməyib",Koreya,2015,5,Sedan
Bakı,Range Rover,Xeyr,3.0 L / 400 a.g. / Benzin,43 594 km,Tam,≈ 195 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9731605-land-rover-range-rover,,Land Rover,"Vuruğu yoxdur, rənglənməyib",Amerika,2023,5,"Offroader / SUV, 5 qapı"
Bakı,eQ7,Bəli,211 a.g. / Elektro,0 km,Arxa,47 900 AZN,Avtomat (Reduktor),Qara,,https://turbo.az/autos/8370035-chery-eq7,,Chery,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2024,5,"Offroader / SUV, 5 qapı"
Bakı,C 180,Xeyr,1.8 L / 122 a.g. / Benzin,740 000 km,Arxa,3 700 AZN,Avtomat (AT),Yaş Asfalt,,https://turbo.az/autos/9697106-mercedes-c-180,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,1995,5,Sedan
Bakı,E 220,Xeyr,2.1 L / 170 a.g. / Dizel,369 000 km,Arxa,22 900 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9670662-mercedes-e-220,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2015,5,Sedan
Bakı,Prius,Xeyr,1.5 L / 76 a.g. / Hibrid,350 000 km,Ön,8 300 AZN,Avtomat (Variator),Gümüşü,,https://turbo.az/autos/8375350-toyota-prius,1,Toyota,"Vuruğu yoxdur, rənglənməyib",Amerika,2008,5,Liftbek
Bakı,Camry,Xeyr,2.5 L / 204 a.g. / Benzin,54 000 km,Ön,≈ 43 350 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9741709-toyota-camry,,Toyota,"Vuruğu var, rənglənib",Amerika,2021,5,Sedan
Bakı,Tiggo 7 Pro,Bəli,1.5 L / 172 a.g. / Hibrid,0 km,Ön,39 900 AZN,Avtomat (AT),Mavi,,https://turbo.az/autos/9087165-chery-tiggo-7-pro,0,Chery,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2024,5,"Offroader / SUV, 5 qapı"
Bakı,Outlander Sport,Bəli,1.5 L / 141 a.g. / Benzin,0 km,Ön,≈ 45 730 AZN,Avtomat (Variator),Qara,,https://turbo.az/autos/9280233-mitsubishi-outlander-sport,,Mitsubishi,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2025,,"Offroader / SUV, 5 qapı"
Bakı,Fusion (North America),Xeyr,1.5 L / 181 a.g. / Benzin,140 000 km,Ön,21 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9666287-ford-fusion-north-america,,Ford,"Vuruğu yoxdur, rənglənməyib",Amerika,2019,5,Sedan
Bakı,Mirage,Xeyr,1.2 L / 78 a.g. / Benzin,343 842 km,Ön,10 600 AZN,Avtomat (Variator),Qara,,https://turbo.az/autos/9736336-mitsubishi-mirage,0,Mitsubishi,"Vuruğu yoxdur, rənglənməyib",Amerika,2014,5,"Hetçbek, 5 qapı"
Bakı,E 280,Xeyr,2.8 L / 204 a.g. / Benzin,290 953 km,Arxa,13 500 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9741708-mercedes-e-280,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Digər,1999,5,Sedan
Bakı,Camry,Xeyr,2.5 L / 181 a.g. / Benzin,238 000 km,Ön,18 900 AZN,Avtomat (AT),Yaş Asfalt,,https://turbo.az/autos/9670687-toyota-camry,0,Toyota,"Vuruğu yoxdur, rənglənməyib",Amerika,2014,5,Sedan
Gəncə,Azera,Xeyr,2.4 L / 180 a.g. / Benzin,179 000 km,Ön,22 800 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9741705-hyundai-azera,,Hyundai,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2012,5,Sedan
Bakı,K5,Xeyr,2.0 L / 168 a.g. / Benzin,135 000 km,Ön,29 500 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9696200-kia-k5,1,Kia,"Vuruğu yoxdur, rənglənməyib",Koreya,2016,5,Sedan
Sumqayıt,Transit,Xeyr,2.4 L / 140 a.g. / Dizel,213 000 km,Arxa,30 800 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9109445-ford-transit,0,Ford,"Vuruğu yoxdur, rənglənməyib",Avropa,2011,3,Yük maşını
Bakı,Fusion (North America),Xeyr,1.5 L / 181 a.g. / Benzin,100 000 km,Ön,16 900 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9737192-ford-fusion-north-america,0,Ford,"Vuruğu yoxdur, rənglənməyib",Amerika,2019,5,Sedan
Bakı,X55,Xeyr,1.5 L / 150 a.g. / Benzin,53 000 km,Ön,21 500 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9741704-baic-x55,,Baic,"Vuruğu yoxdur, rənglənməyib",Çin,2020,5,"Offroader / SUV, 5 qapı"
Bakı,RAV4,Xeyr,2.4 L / 166 a.g. / Benzin,355 692 km,Ön,18 000 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9741707-toyota-rav4,,Toyota,"Vuruğu yoxdur, rənglənməyib",,2007,5,"Offroader / SUV, 5 qapı"
Bakı,Sonata,Xeyr,2.0 L / 165 a.g. / Benzin,213 000 km,Ön,25 000 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9365775-hyundai-sonata,1,Hyundai,"Vuruğu yoxdur, rənglənməyib",,2015,5,Sedan
Bakı,Picanto,Xeyr,1.3 L / 85 a.g. / Benzin,117 000 km,Ön,14 900 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9741706-kia-picanto,,Kia,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2012,5,"Hetçbek, 5 qapı"
